"Protein_A","Protein_B","Abd_A","Abd_B","Colony_Size"
"SHR3","SAC1","35.7",137,39677
"SHR3","CAN1","35.7","4.97",132320
"SHR3","SPF1","35.7",108,82136
"SHR3","UBP1","35.7","44.6",32549
"SHS1","SHS1","63.0","63.0",43481
"SHS1","CDC11","63.0","53.9",56609
"SHS1","RNR2","63.0",352,21673
"SHY1","ERR1","6.58","80.4",22079
"SHY1","SAM50","6.58","13.5",21921
"SIC1","NIC96","70.6",147,20922
"SIC1","DBP3","70.6",137,20613
"SIC1","YCS4","70.6","2.11",25456
"SIC1","RIX7","70.6","30.2",22444
"SIC1","NTF2","70.6",486,24240
"SIC1","UME1","70.6","32.3",22351
"SIC1","SSS1","70.6",184,27102
"SIC1","APC11","70.6","1.13",21230
"SIC1","BCY1","70.6",149,22459
"SIC1","URE2","70.6","27.6",20568
"SIC1","KEX1","70.6","21.9",20800
"SIC1","YML082W","70.6","7.46",20144
"SIC1","TAF2","70.6","8.01",24924
"SIC1","LSM1","70.6",1066,23532
"SIC1","SAM50","70.6","13.5",33754
"SIC1","ECM4","70.6","21.9",31223
"SIP1","REG1","9.37","57.5",21635
"SIP4","YCS4",13,"2.11",20066
"SIP5","MMS2","15.2",101,65445
"SIP5","UBC13","15.2","86.0",54777
"SIR1","UBP6",51,126,24952
"SIR1","NIC96",51,147,21574
"SIR1","SPO7",51,"1.61",21711
"SIR1","MSH4",51,105,21307
"SIR1","GPI17",51,"26.0",23335
"SIR1","UBC13",51,"86.0",24117
"SIR1","YBR241C",51,"3.09",26343
"SIR1","YHR078W",51,109,25748
"SIR1","LSM1",51,1066,21948
"SIR1","MGM1",51,"22.5",27406
"SIS1","SEC27",591,151,33965
"SIS1","SIS1",591,591,101668
"SIS1","ADE17",591,351,22112
"SIS1","ALO1",591,104,30048
"SIS1","STI1",591,707,21842
"SIS1","CHC1",591,178,47488
"SIS1","ARO8",591,343,33834
"SIS1","GLN1",591,430,37747
"SIS1","VAS1",591,324,26950
"SIS1","OYE2",591,647,28313
"SIS1","IPP1",591,1633,29177
"SIS1","CAR2",591,308,24232
"SIS1","CYS4",591,734,31987
"SIS1","RNR1",591,120,37162
"SIS1","UBA1",591,284,22880
"SIS2","VHS3","34.1","14.9",21603
"SIS2","PPZ1","34.1","47.0",95079
"SIS2","SIS2","34.1","34.1",33320
"SIS2","RNR2","34.1",352,22199
"SIS2","RTN1","34.1",542,72296
"SIS2","AGP1","34.1","10.6",47140
"SIS2","OST1","34.1","52.8",38825
"SIS2","SAC1","34.1",137,20144
"SIS2","YOP1","34.1",186,29505
"SIT4","SAP155","44.5","17.1",48680
"SIT4","IKI3","44.5","38.3",31102
"SIT4","MBF1","44.5",1007,21287
"SKI3","SKI3","14.5","14.5",32561
"SKI3","ADE17","14.5",351,24105
"SKI3","YGR054W","14.5",165,23072
"SKI3","HUG1","14.5","1.82",28433
"SKI3","SAM50","14.5","13.5",20188
"SKI3","ARO8","14.5",343,22392
"SKI6","RAD7","89.1","5.6",23027
"SKI6","SUT1","89.1",255,23081
"SKI6","CCW12","89.1","37.4",22050
"SKI6","YHR078W","89.1",109,23023
"SKI6","UBA1","89.1",284,23337
"SKI7","RRP43","35.9","73.3",20634
"SKI7","SKI3","35.9","14.5",22889
"SKI7","CSL4","35.9","77.4",23661
"SKI8","RPO26","17.9",134,37186
"SKI8","DED1","17.9",399,21702
"SKI8","SKI8","17.9","17.9",27599
"SKI8","ADE17","17.9",351,23600
"SKI8","HRK1","17.9","79.5",31200
"SKI8","STF2","17.9",191,23707
"SKI8","DBP5","17.9",156,28326
"SKI8","GLN1","17.9",430,21468
"SKI8","RNR2","17.9",352,29464
"SKM1","SSS1","10.6",184,22568
"SKM1","TAF2","10.6","8.01",26420
"SKM1","SAM50","10.6","13.5",24196
"SKN1","SAM50","5.72","13.5",26519
"SKN7","ADK2","14.8","2.36",20600
"SKO1","PRP43","12.7","85.5",21028
"SKO1","SPP382","12.7","0.88",23224
"SKO1","PWP1","12.7",103,20434
"SKY1","ECM4","33.5","21.9",25000
"SLA1","ARC40",125,"78.7",26415
"SLA1","END3",125,"96.9",29528
"SLA1","LSB3",125,"72.8",44537
"SLA1","CHC1",125,178,34296
"SLA1","SLA1",125,125,56833
"SLA1","RNR2",125,352,29118
"SLA2","ARC40","76.3","78.7",80166
"SLA2","VRP1","76.3","69.8",48232
"SLA2","END3","76.3","96.9",106515
"SLA2","ARC35","76.3",132,25918
"SLA2","LAS17","76.3","19.4",63933
"SLA2","ARC15","76.3",161,41359
"SLA2","ARC18","76.3",140,37143
"SLA2","ARC19","76.3","93.9",43142
"SLA2","HUG1","76.3","1.82",24012
"SLA2","SYP1","76.3","62.6",21849
"SLA2","CHC1","76.3",178,94547
"SLA2","SLA1","76.3",125,38369
"SLA2","ARO8","76.3",343,25753
"SLA2","GLN1","76.3",430,29419
"SLA2","IPP1","76.3",1633,21186
"SLA2","HSP12","76.3",1942,26882
"SLA2","RNR1","76.3",120,24768
"SLA2","MBF1","76.3",1007,25266
"SLA2","RTN1","76.3",542,40648
"SLC1","YIM1","96.9","40.7",22659
"SLC1","ACF2","96.9","7.4",67354
"SLC1","YJU3","96.9","42.4",23377
"SLC1","SNA3","96.9","63.8",74349
"SLC1","AYR1","96.9","92.3",29295
"SLC1","ERG11","96.9",133,42511
"SLC1","ERG7","96.9","11.2",29271
"SLC1","RER2","96.9","9.4",36675
"SLC1","KES1","96.9",232,32565
"SLC1","FAT1","96.9","18.6",47884
"SLC1","GAP1","96.9","11.9",23231
"SLC1","PHO84","96.9",149,21545
"SLC1","RTN1","96.9",542,28823
"SLC1","ORM1","96.9","23.4",39442
"SLC1","CHO1","96.9","37.3",46871
"SLC1","AGP1","96.9","10.6",48908
"SLC1","OST1","96.9","52.8",112750
"SLC1","SAC1","96.9",137,23262
"SLC1","SPF1","96.9",108,53799
"SLC1","UBP1","96.9","44.6",24287
"SLF1","DED1","15.6",399,20464
"SLF1","DEF1","15.6",463,32315
"SLH1","YKR023W","3.82","16.5",55327
"SLI15","IDI1","3.0",187,20034
"SLK19","SLK19","16.8","16.8",26216
"SLK19","PET191","16.8","85.7",23503
"SLK19","ECM4","16.8","21.9",21172
"SLM1","HNM1","27.7","19.7",25211
"SLM1","MID2","27.7","7.82",52277
"SLM1","MUP1","27.7","16.2",30743
"SLM1","PDR12","27.7","14.2",24081
"SLM1","SLM1","27.7","27.7",54343
"SLM1","SFK1","27.7","7.29",47971
"SLM1","PST2","27.7",549,28235
"SLM1","TPO2","27.7","30.3",32856
"SLM1","SWI6","27.7","33.6",20218
"SLM1","GPA2","27.7","23.4",28557
"SLM1","YGR130C","27.7",117,55284
"SLM1","RFS1","27.7",125,41098
"SLM1","FMP45","27.7","29.3",30468
"SLN1","SPO71","4.6",532,22690
"SLO1","ERR1","24.7","80.4",23973
"SLT2","INO1","60.7",108,20727
"SLT2","PGM2","60.7",289,25120
"SLT2","RNR2","60.7",352,34243
"SLX8","SSS1","2.79",184,24682
"SLY1","SEC27","40.5",151,21926
"SLY1","HXT1","40.5","46.7",25907
"SLY1","RBD2","40.5","22.4",37589
"SLY1","GRH1","40.5","61.9",27172
"SLY1","SNA3","40.5","63.8",25748
"SLY1","TVP15","40.5","17.1",27349
"SLY1","AKR1","40.5","13.8",20840
"SLY1","COG3","40.5","11.9",23573
"SLY1","COG4","40.5","8.95",39572
"SLY1","GAP1","40.5","11.9",41822
"SLY1","HXT3","40.5",142,36690
"SLY1","HXT7","40.5",124,32677
"SLY1","CAN1","40.5","4.97",37473
"SMB1","NEM1","35.7",488,26255
"SMB1","NAB3","35.7","47.8",20859
"SMB1","TAF2","35.7","8.01",20239
"SMC2","ECM4","3.34","21.9",25771
"SMD1","URE2","50.7","27.6",22422
"SMD2","FYV4","54.7","25.1",36648
"SMD2","TAF2","54.7","8.01",20272
"SMD3","PRP5","29.0",677,21056
"SMD3","RIM1","29.0",351,20749
"SMD3","SAM50","29.0","13.5",20110
"SMD3","ECM4","29.0","21.9",20374
"SMD3","PHO84","29.0",149,20446
"SME1","SPP382","5.82","0.88",20140
"SMF3","PRP43","11.0","85.5",20223
"SMF3","AGP1","11.0","10.6",72259
"SMF3","SPF1","11.0",108,24899
"SMI1","SEC27",106,151,49696
"SMI1","SEC7",106,"35.8",46987
"SMI1","CHS3",106,"10.8",20224
"SMI1","CHS5",106,"90.9",38367
"SMI1","HNM1",106,"19.7",27973
"SMI1","HXT1",106,"46.7",21285
"SMI1","MID2",106,"7.82",45847
"SMI1","MUP1",106,"16.2",26673
"SMI1","GGA2",106,109,29650
"SMI1","PEP1",106,"26.4",26357
"SMI1","RET2",106,125,23329
"SMI1","ARC19",106,"93.9",20492
"SMI1","SFK1",106,"7.29",20700
"SMI1","PIN2",106,"11.3",34660
"SMI1","INO1",106,108,26333
"SMI1","PGM2",106,289,25341
"SMI1","SKG1",106,"23.9",21470
"SMI1","OPY2",106,"9.56",21200
"SMI1","KEX1",106,"21.9",60128
"SMI1","KEX2",106,"2.3",29042
"SMI1","FLC2",106,"15.8",31731
"SMI1","APL2",106,"17.2",20419
"SMI1","BET5",106,"3.42",22100
"SMI1","CHC1",106,178,20027
"SMI1","SLG1",106,"44.1",26367
"SMI1","ENT3",106,179,21042
"SMI1","FTH1",106,"9.96",22738
"SMI1","CUE5",106,158,27068
"SMI1","DNF1",106,"14.5",31973
"SMI1","DRS2",106,"8.11",35387
"SMI1","SEC26",106,105,45405
"SMI1","ARO8",106,343,28456
"SMI1","GLN1",106,430,57126
"SMI1","VAS1",106,324,34155
"SMI1","VMA4",106,907,52094
"SMI1","IPP1",106,1633,41266
"SMI1","CYS4",106,734,30322
"SMI1","RNR2",106,352,47456
"SMI1","GAP1",106,"11.9",32306
"SMI1","HXT7",106,124,22262
"SMI1","CAN1",106,"4.97",20235
"SMM1","LSM1","21.6",1066,23454
"SMM1","ECM4","21.6","21.9",23331
"SMP3","ECM4",128,"21.9",21347
"SMX2","ARP8","7.18","17.3",24227
"SMX2","YHR078W","7.18",109,24781
"SMY1","FUN19","12.7","4.38",20974
"SMY1","APC11","12.7","1.13",27570
"SMY1","BCY1","12.7",149,20831
"SMY1","SLG1","12.7","44.1",20577
"SMY1","DSS4","12.7","15.0",20898
"SMY1","ECM4","12.7","21.9",22441
"SMY2","NCS6","25.6","8.46",20784
"SNA3","SEC27","63.8",151,52969
"SNA3","YIM1","63.8","40.7",31809
"SNA3","YCR043C","63.8","15.1",36607
"SNA3","HXT1","63.8","46.7",27724
"SNA3","GTT1","63.8",112,32688
"SNA3","VPS35","63.8","10.1",23046
"SNA3","MID2","63.8","7.82",22673
"SNA3","MUP1","63.8","16.2",25063
"SNA3","MEH1","63.8","16.5",38359
"SNA3","ADE17","63.8",351,21311
"SNA3","PDR12","63.8","14.2",27881
"SNA3","RET2","63.8",125,73153
"SNA3","ACF2","63.8","7.4",65264
"SNA3","YJU3","63.8","42.4",41996
"SNA3","LSB3","63.8","72.8",22323
"SNA3","VAC8","63.8","76.0",37623
"SNA3","VMA13","63.8",207,36669
"SNA3","VMA7","63.8",289,42434
"SNA3","VMA8","63.8",122,38744
"SNA3","YEH1","63.8","3.27",22061
"SNA3","SNA3","63.8","63.8",107178
"SNA3","TPO2","63.8","30.3",21995
"SNA3","AYR1","63.8","92.3",41492
"SNA3","ERG27","63.8","93.1",20909
"SNA3","ERG7","63.8","11.2",43870
"SNA3","ARF1","63.8",797,35164
"SNA3","FLC1","63.8","6.34",20917
"SNA3","COG3","63.8","11.9",23799
"SNA3","TGL1","63.8","23.4",49166
"SNA3","RER2","63.8","9.4",58185
"SNA3","KES1","63.8",232,49376
"SNA3","FAT1","63.8","18.6",67897
"SNA3","SEC21","63.8",133,43079
"SNA3","SEC26","63.8",105,62300
"SNA3","ARO8","63.8",343,36646
"SNA3","GLN1","63.8",430,33426
"SNA3","VAS1","63.8",324,28856
"SNA3","VMA4","63.8",907,24107
"SNA3","IPP1","63.8",1633,25845
"SNA3","CYS4","63.8",734,27387
"SNA3","GAP1","63.8","11.9",46474
"SNA3","HXT3","63.8",142,33614
"SNA3","HXT7","63.8",124,53378
"SNA3","RTN1","63.8",542,22959
"SNA3","ERG1","63.8","90.2",34824
"SNA3","AGP1","63.8","10.6",45096
"SNA3","CRP1","63.8",278,49936
"SNA3","OST1","63.8","52.8",21080
"SNA3","CAN1","63.8","4.97",20742
"SNA3","SPF1","63.8",108,22286
"SNA4","GTR1","7.4","8.77",25332
"SNA4","HXT1","7.4","46.7",25357
"SNA4","VPS35","7.4","10.1",23528
"SNA4","VPS5","7.4","19.0",27440
"SNA4","GTR2","7.4","7.58",27936
"SNA4","MEH1","7.4","16.5",59866
"SNA4","PMC1","7.4","14.7",28227
"SNA4","ACF2","7.4","7.4",21127
"SNA4","VAC8","7.4","76.0",56231
"SNA4","VMA13","7.4",207,40580
"SNA4","VMA7","7.4",289,45247
"SNA4","VMA8","7.4",122,44271
"SNA4","YBT1","7.4","32.7",37092
"SNA4","FTH1","7.4","9.96",28808
"SNA4","KES1","7.4",232,29409
"SNA4","PIB2","7.4","17.0",26144
"SNA4","VMA4","7.4",907,37446
"SNA4","CRP1","7.4",278,32576
"SNC2","ARC40","80.5","78.7",38802
"SNC2","SEC27","80.5",151,46689
"SNC2","BNA3","80.5","69.6",29025
"SNC2","ADE17","80.5",351,40304
"SNC2","ARC35","80.5",132,20983
"SNC2","ALO1","80.5",104,51050
"SNC2","INO1","80.5",108,20650
"SNC2","VMA8","80.5",122,34876
"SNC2","PGM2","80.5",289,25554
"SNC2","CHC1","80.5",178,35690
"SNC2","SEC26","80.5",105,22636
"SNC2","DBP5","80.5",156,23012
"SNC2","ARO8","80.5",343,43622
"SNC2","GLN1","80.5",430,45930
"SNC2","THS1","80.5",341,23963
"SNC2","VAS1","80.5",324,55067
"SNC2","OYE2","80.5",647,34991
"SNC2","VMA4","80.5",907,47447
"SNC2","IPP1","80.5",1633,52282
"SNC2","HSP12","80.5",1942,28258
"SNC2","CAR2","80.5",308,27980
"SNC2","CYS4","80.5",734,56340
"SNC2","RNR1","80.5",120,44793
"SNC2","RNR2","80.5",352,58534
"SNC2","SAH1","80.5",1129,42922
"SNC2","MBF1","80.5",1007,20545
"SNC2","UBA1","80.5",284,23833
"SNC2","RTN1","80.5",542,21678
"SNF1","REG1",133,"57.5",26700
"SNF1","SFL1",133,"12.4",21745
"SNF1","ECM4",133,"21.9",22637
"SNF3","BCY1",786,149,21370
"SNF3","SWI6",786,"33.6",20247
"SNF5","STU2","9.66","15.7",20878
"SNF7","SNF7",133,133,44093
"SNF7","VPS24",133,"39.6",49973
"SNF7","VTA1",133,"29.2",31999
"SNF7","ALO1",133,104,20296
"SNF7","VPS60",133,"30.5",48607
"SNF7","DID4",133,"41.5",37995
"SNF7","DID2",133,"73.3",29717
"SNL1","ARF3","43.3","35.9",20573
"SNL1","GAP1","43.3","11.9",24162
"SNL1","GSF2","43.3",115,26094
"SNL1","RTN1","43.3",542,51618
"SNL1","CHO1","43.3","37.3",20942
"SNL1","AGP1","43.3","10.6",54011
"SNL1","OST1","43.3","52.8",49977
"SNL1","SPF1","43.3",108,21773
"SNM1","ERR1","7.12","80.4",23736
"SNO1","RNR1","5.08",120,20160
"SNQ2","HNM1","26.3","19.7",42320
"SNQ2","HXT1","26.3","46.7",66276
"SNQ2","HXT5","26.3","26.3",54394
"SNQ2","MID2","26.3","7.82",27669
"SNQ2","MUP1","26.3","16.2",45107
"SNQ2","PDR12","26.3","14.2",133232
"SNQ2","PDR5","26.3","87.1",53053
"SNQ2","QDR2","26.3","7.54",41387
"SNQ2","TPO2","26.3","30.3",44880
"SNQ2","TPO3","26.3","25.7",61796
"SNQ2","SNQ2","26.3","26.3",63384
"SNQ2","TPO1","26.3","8.4",69718
"SNQ2","TCB3","26.3","87.3",31084
"SNQ2","BAP2","26.3","32.1",25321
"SNQ2","DIP5","26.3","10.7",56846
"SNQ2","SAM50","26.3","13.5",25511
"SNQ2","GAP1","26.3","11.9",74016
"SNQ2","HXT3","26.3",142,136303
"SNQ2","HXT7","26.3",124,150317
"SNQ2","IST2","26.3",136,118714
"SNQ2","RTN1","26.3",542,24889
"SNQ2","CHO1","26.3","37.3",35382
"SNQ2","AGP1","26.3","10.6",80981
"SNQ2","CRP1","26.3",278,127399
"SNQ2","OST1","26.3","52.8",69149
"SNQ2","CAN1","26.3","4.97",66387
"SNQ2","SPF1","26.3",108,87650
"SNT1","CDC40","5.68","5.16",25509
"SNT1","MSH4","5.68",105,29313
"SNT1","CSG2","5.68","6.2",27826
"SNT1","UBC13","5.68","86.0",29822
"SNT1","IDI1","5.68",187,28284
"SNT1","LSM1","5.68",1066,26707
"SNT1","MGM1","5.68","22.5",28783
"SNU114","UTP20","10.4","14.4",24742
"SNU114","UTP23","10.4","28.6",25555
"SNU114","MSH4","10.4",105,20276
"SNU114","UBP10","10.4","19.8",33553
"SNU56","NUF2","3.38","7.77",24707
"SNU56","KRE9","3.38","36.2",20415
"SNU56","MSH2","3.38","13.7",23203
"SNX3","PEX29","51.3","19.4",20572
"SNX3","RIM1","51.3",351,20070
"SNX3","RPN3","51.3","75.8",22529
"SNX3","KEX1","51.3","21.9",24258
"SNX3","ECM4","51.3","21.9",23162
"SNX4","RNR2","28.3",352,27908
"SNZ1","SNZ1","75.4","75.4",32448
"SNZ3","TAF2","16.9","8.01",21739
"SNZ3","ECM4","16.9","21.9",20185
"SOD2","PEX29",785,"19.4",27459
"SOD2","RIM1",785,351,21134
"SOD2","TAF2",785,"8.01",22393
"SOF1","UTP23","45.9","28.6",22860
"SOF1","UBP10","45.9","19.8",27260
"SOK1","RPB5","11.2",173,21162
"SOK2","BCY1","23.7",149,24488
"SOK2","SAM50","23.7","13.5",20012
"SOK2","DBP5","23.7",156,23381
"SOL1","ADE17","45.4",351,26627
"SOL3","RPB5",169,173,21042
"SOL3","ARO8",169,343,25681
"SOL3","IPP1",169,1633,21744
"SOL3","CYS4",169,734,24158
"SOL3","RNR2",169,352,38310
"SOL3","SAH1",169,1129,20893
"SOP4","CHS7","31.3","5.82",21603
"SOP4","PDR12","31.3","14.2",41334
"SOP4","PHO88","31.3",404,62332
"SOP4","ORM2","31.3","28.2",27368
"SOP4","ERG11","31.3",133,37543
"SOP4","BAP2","31.3","32.1",25097
"SOP4","SHR3","31.3","35.7",28424
"SOP4","FCY2","31.3","39.8",42584
"SOP4","GAP1","31.3","11.9",97261
"SOP4","HXT3","31.3",142,28227
"SOP4","HXT7","31.3",124,42493
"SOP4","PHO84","31.3",149,54959
"SOP4","RTN1","31.3",542,21865
"SOP4","CHO1","31.3","37.3",27285
"SOP4","AGP1","31.3","10.6",113760
"SOP4","SAC1","31.3",137,27438
"SOP4","CAN1","31.3","4.97",55522
"SOP4","SPF1","31.3",108,90493
"SOR1","NUF2",132,"7.77",21561
"SPA2","SEC3","46.0","11.1",21788
"SPA2","KEL1","46.0","53.0",32308
"SPA2","RIM101","46.0","1.89",23533
"SPA2","SPA2","46.0","46.0",56929
"SPA2","SEC2","46.0","14.2",28301
"SPC1","PHO88","19.7",404,53615
"SPC1","SEC62","19.7","39.0",54474
"SPC1","ORM2","19.7","28.2",23060
"SPC1","ERG11","19.7",133,36358
"SPC1","ERP1","19.7",122,25209
"SPC1","ERV46","19.7","55.2",26677
"SPC1","ERV41","19.7","24.2",26823
"SPC1","GAP1","19.7","11.9",36695
"SPC1","VRG4","19.7","11.8",25246
"SPC1","GSF2","19.7",115,20465
"SPC1","PHO84","19.7",149,36380
"SPC1","SEC63","19.7",100,70918
"SPC1","RTN1","19.7",542,31228
"SPC1","CHO1","19.7","37.3",48799
"SPC1","ELO1","19.7","5.1",20664
"SPC1","GRX2","19.7",437,33381
"SPC1","AGP1","19.7","10.6",76380
"SPC1","CRP1","19.7",278,20036
"SPC1","OST1","19.7","52.8",47923
"SPC1","SAC1","19.7",137,49083
"SPC1","CAN1","19.7","4.97",27506
"SPC1","SPF1","19.7",108,76418
"SPC19","PRE7","17.0",162,21320
"SPC19","ECM4","17.0","21.9",30503
"SPC19","DBP5","17.0",156,23218
"SPC2","PHO88","36.4",404,26249
"SPC2","SEC62","36.4","39.0",36641
"SPC2","ORM2","36.4","28.2",22517
"SPC2","ERG11","36.4",133,25081
"SPC2","SPC1","36.4","19.7",33697
"SPC2","SPC2","36.4","36.4",20133
"SPC2","GAP1","36.4","11.9",40318
"SPC2","PHS1","36.4","4.96",23771
"SPC2","PHO84","36.4",149,30391
"SPC2","SEC63","36.4",100,28348
"SPC2","RTN1","36.4",542,29891
"SPC2","CHO1","36.4","37.3",65209
"SPC2","ELO1","36.4","5.1",22593
"SPC2","AGP1","36.4","10.6",88651
"SPC2","OST1","36.4","52.8",49283
"SPC2","SAC1","36.4",137,45123
"SPC2","CAN1","36.4","4.97",41783
"SPC2","SPF1","36.4",108,75101
"SPC24","RPN3","21.8","75.8",23455
"SPC24","RDI1","21.8",179,20348
"SPC24","ERR1","21.8","80.4",22636
"SPC24","ECM4","21.8","21.9",20262
"SPC72","STU2","2.8","15.7",21418
"SPC72","RPB5","2.8",173,21531
"SPC98","UBP6","1.51",126,27458
"SPC98","HMG2","1.51","14.2",27338
"SPC98","YHR078W","1.51",109,27081
"SPC98","LSM1","1.51",1066,30349
"SPF1","FUI1",108,"5.51",27906
"SPF1","SOP4",108,"31.3",66351
"SPF1","HNM1",108,"19.7",27478
"SPF1","HXT1",108,"46.7",37533
"SPF1","ITR1",108,"42.0",23750
"SPF1","ERV29",108,"49.8",43284
"SPF1","FET3",108,"84.7",25326
"SPF1","PDR12",108,"14.2",42819
"SPF1","PHO88",108,404,107181
"SPF1","OLE1",108,122,38195
"SPF1","MSC7",108,"63.9",23275
"SPF1","SEC62",108,"39.0",58177
"SPF1","QDR2",108,"7.54",21665
"SPF1","ALG5",108,"7.13",20158
"SPF1","SSH1",108,"100.0",49750
"SPF1","ORM2",108,"28.2",37779
"SPF1","CSG2",108,"6.2",25399
"SPF1","TPO3",108,"25.7",21247
"SPF1","CPT1",108,"28.5",40474
"SPF1","ATG27",108,"39.3",25893
"SPF1","ERG11",108,133,59820
"SPF1","YDC1",108,"10.1",29075
"SPF1","VMA21",108,172,24298
"SPF1","BAP2",108,"32.1",26925
"SPF1","SHR3",108,"35.7",26127
"SPF1","DIP5",108,"10.7",46713
"SPF1","ERP1",108,122,62316
"SPF1","SPC2",108,"36.4",41551
"SPF1","SEY1",108,"40.8",37852
"SPF1","STE24",108,"44.5",21154
"SPF1","ERP4",108,"37.9",29078
"SPF1","ERP5",108,"2.81",24447
"SPF1","ERV25",108,"88.8",68259
"SPF1","FCY2",108,"39.8",37711
"SPF1","YBR241C",108,"3.09",34662
"SPF1","GAP1",108,"11.9",111642
"SPF1","VRG4",108,"11.8",63446
"SPF1","GNP1",108,"46.7",37618
"SPF1","GSF2",108,115,21341
"SPF1","HXT3",108,142,58218
"SPF1","HXT7",108,124,78988
"SPF1","ICE2",108,"4.34",32389
"SPF1","PHS1",108,"4.96",62374
"SPF1","PMR1",108,"35.7",31313
"SPF1","YDR476C",108,"28.7",21105
"SPF1","SAM3",108,"17.1",49818
"SPF1","PHO84",108,149,66986
"SPF1","SEC63",108,100,71427
"SPF1","IST2",108,136,20360
"SPF1","RTN1",108,542,70904
"SPF1","ORM1",108,"23.4",34283
"SPF1","TNA1",108,"4.01",51773
"SPF1","YET1",108,"76.4",23005
"SPF1","CHO1",108,"37.3",92724
"SPF1","YLR050C",108,"6.0",30040
"SPF1","ELO1",108,"5.1",56039
"SPF1","GRX2",108,437,23664
"SPF1","AGP1",108,"10.6",116499
"SPF1","CRP1",108,278,36501
"SPF1","OST1",108,"52.8",93540
"SPF1","SAC1",108,137,65445
"SPF1","CAN1",108,"4.97",92809
"SPF1","SPF1",108,108,87421
"SPF1","ERP2",108,155,46873
"SPF1","ERP3",108,"8.66",32333
"SPF1","YOP1",108,186,29804
"SPL2","TAF2","1.66","8.01",25498
"SPN1","SLD3",110,418,20664
"SPN1","RPB2",110,"94.3",30540
"SPN1","RPB5",110,173,55839
"SPN1","ECM4",110,"21.9",21963
"SPO12","RIX7","1.12","30.2",21683
"SPO12","SAM50","1.12","13.5",29656
"SPO13","ECM4",855,"21.9",20972
"SPO7","PET191","1.61","85.7",23643
"SPT15","TAF2","62.6","8.01",24167
"SPT16","ERV15",111,"5.16",35761
"SPT16","IDH2",111,556,21548
"SPT16","PWP1",111,103,28583
"SPT16","SVF1",111,104,30220
"SPT16","YNR065C",111,"4.53",29084
"SPT16","RPB5",111,173,25978
"SPT16","ECM4",111,"21.9",20479
"SPT23","UBP6","2.23",126,21135
"SPT23","YHR078W","2.23",109,22838
"SPT23","LSM1","2.23",1066,20076
"SRB4","TAF2","13.2","8.01",20647
"SRB5","TAF2","9.07","8.01",20397
"SRB5","ECM4","9.07","21.9",24093
"SRB7","ERR1","12.8","80.4",22956
"SRB7","SAM50","12.8","13.5",20215
"SRB7","ECM4","12.8","21.9",24280
"SRB8","MGM1",635,"22.5",22782
"SRL2","PEX29","3.34","19.4",26122
"SRL3","UBP6","6.83",126,21641
"SRL3","YCS4","6.83","2.11",20638
"SRL3","ABF2","6.83",640,20486
"SRL3","MKC7","6.83","13.1",21202
"SRL3","PEX29","6.83","19.4",20129
"SRL3","IDH2","6.83",556,21227
"SRL3","RPT2","6.83",123,20672
"SRL3","SUT1","6.83",255,23508
"SRL3","NDE2","6.83","17.8",23235
"SRL3","YHR078W","6.83",109,25574
"SRL3","MGM1","6.83","22.5",21945
"SRP72","SRP14","46.2","90.1",42007
"SRP72","AGP1","46.2","10.6",20418
"SRV2","ARC40",255,"78.7",88563
"SRV2","YVC1",255,"10.2",37967
"SRV2","SEC27",255,151,24999
"SRV2","ARC35",255,132,62758
"SRV2","TWF1",255,"84.0",68642
"SRV2","ARC15",255,161,60905
"SRV2","ARC18",255,140,31942
"SRV2","ARC19",255,"93.9",36682
"SRV2","INO1",255,108,30557
"SRV2","CAP2",255,103,78644
"SRV2","SRV2",255,255,180483
"SRV2","ARO8",255,343,41115
"SRV2","GLN1",255,430,44951
"SRV2","OYE2",255,647,38104
"SRV2","IPP1",255,1633,21894
"SRV2","CAR2",255,308,20749
"SRV2","CYS4",255,734,41365
"SRV2","RNR1",255,120,28767
"SRV2","RNR2",255,352,45403
"SRV2","SAH1",255,1129,37840
"SRX1","YHR078W","13.1",109,24673
"SSA3","CDC40",989,"5.16",31094
"SSA3","MSH4",989,105,30204
"SSA3","CSG2",989,"6.2",26101
"SSA3","HBS1",989,"31.8",25911
"SSA3","UBC13",989,"86.0",34011
"SSA3","IDI1",989,187,36811
"SSA3","RHO1",989,252,30473
"SSA3","STE14",989,754,26196
"SSA3","YHR078W",989,109,36446
"SSA3","MGM1",989,"22.5",34299
"SSD1","PUB1","57.6",319,31792
"SSD1","SEC27","57.6",151,26312
"SSD1","DED1","57.6",399,41550
"SSD1","SRO9","57.6",441,41358
"SSD1","YGR054W","57.6",165,48375
"SSD1","INO1","57.6",108,23618
"SSD1","VMA8","57.6",122,21883
"SSD1","CHC1","57.6",178,21735
"SSD1","SSD1","57.6","57.6",77824
"SSD1","DBP5","57.6",156,29053
"SSD1","ARO8","57.6",343,34515
"SSD1","GLN1","57.6",430,29730
"SSD1","VAS1","57.6",324,40266
"SSD1","OYE2","57.6",647,31965
"SSD1","IPP1","57.6",1633,39850
"SSD1","CAR2","57.6",308,27732
"SSD1","CYS4","57.6",734,24430
"SSD1","RNR1","57.6",120,36308
"SSD1","RNR2","57.6",352,44559
"SSD1","SAH1","57.6",1129,33153
"SSD1","MBF1","57.6",1007,34413
"SSD1","UBA1","57.6",284,26306
"SSE2","MNT2",194,343,20081
"SSE2","MGM1",194,"22.5",24376
